sample_id,canonical_id,object_type,geometry_family,visual_archetype,material_family,profile,youngs_modulus,poisson_ratio,density,particle_size,grid_density,dt,substeps,drop_height,alpha_wrap_fraction,alpha_wrap_offset_fraction,rationale
stage3_100k_qwen2_v1_garment_024220,upper_garment__poncho,Poncho,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_063506,upper_garment__raincoat,Raincoat,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_reserve_garment_104825,upper_garment__shawl,Shawl,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_087282,upper_garment__sun_protective_jacket,Sun-protective Jacket,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_044119,upper_garment__sweatpants,Sweatpants,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_018901,upper_garment__swim_trunks,Swim Trunks,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_016964,upper_garment__tank_top,Tank Top,garment,upper_garment,textile,textile,48600.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment; predeformed_state
stage3_100k_qwen2_v1_bag_003074,handled_soft_bag__backpack_fabric_body,Backpack Fabric Body,bag,handled_soft_bag,textile,textile,48600.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:bag; predeformed_state
stage3_100k_qwen2_v1_bag_094743,handled_soft_bag__foldable_shopping_bag,Foldable Shopping Bag,bag,handled_soft_bag,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_085530,handled_soft_bag__tote_bag,Tote Bag,bag,handled_soft_bag,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_046877,sack_soft_bag__bean_bag,Bean Bag,bag,sack_soft_bag,plastic,plastic,56700.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag; predeformed_state
stage3_100k_qwen2_v1_bag_058520,sack_soft_bag__sandbag,Sandbag,bag,sack_soft_bag,unknown,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:bag
stage3_100k_qwen2_v1_bag_026997,sack_soft_bag__straw_sack,Straw Sack,bag,sack_soft_bag,unknown,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:bag
stage3_100k_qwen2_v1_bag_050764,sealed_soft_package__air_pillow_packaging,Air Pillow Packaging,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_052222,sealed_soft_package__blood_bag,Blood Bag,bag,sealed_soft_package,plastic,plastic,60000.0,0.44,820.0,0.008,144.0,0.001,20,0.36,0.022,0.004,base:plastic; geometry:bag; predeformed_state; liquid_filled_medical_pouch_proxy
stage3_100k_qwen2_v1_bag_066294,sealed_soft_package__cosmetic_refill_pouch,Cosmetic Refill Pouch,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_092486,sealed_soft_package__drainage_bag,Drainage Bag,bag,sealed_soft_package,plastic,plastic,60000.0,0.44,820.0,0.008,144.0,0.001,20,0.36,0.022,0.004,base:plastic; geometry:bag; liquid_filled_medical_pouch_proxy
stage3_100k_qwen2_v1_bag_017797,sealed_soft_package__dry_bag,Dry Bag,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_011979,sealed_soft_package__fabric_storage_bag,Fabric Storage Bag,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_079884,sealed_soft_package__foam_packaging_tray,Foam Packaging Tray,bag,sealed_soft_package,foam,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:bag
stage3_100k_qwen2_v1_bag_070192,sealed_soft_package__paper_bag,Paper Bag,bag,sealed_soft_package,plastic,paper,65000.0,0.3,420.0,0.007,144.0,0.0008,24,0.34,0.024,0.005,base:paper; geometry:bag; paper_packaging
stage3_100k_qwen2_v1_bag_040608,sealed_soft_package__paper_envelope,Paper Envelope,bag,sealed_soft_package,paper,paper,65000.0,0.3,420.0,0.007,144.0,0.0008,24,0.34,0.024,0.005,base:paper; geometry:bag; predeformed_state; paper_packaging
stage3_100k_qwen2_v1_bag_075529,sealed_soft_package__plastic_bag,Plastic Bag,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_043036,sealed_soft_package__potato_chip_bag,Potato Chip Bag,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_016847,sealed_soft_package__quilt_compression_bag,Quilt Compression Bag,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_029945,sealed_soft_package__sanitary_pad_wrapper,Sanitary Pad Wrapper,bag,sealed_soft_package,foil_plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_013943,sealed_soft_package__shampoo_refill_pouch,Shampoo Refill Pouch,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_087664,sealed_soft_package__shipping_envelope,Shipping Envelope,bag,sealed_soft_package,paper,paper,65000.0,0.3,420.0,0.007,144.0,0.0008,24,0.34,0.024,0.005,base:paper; geometry:bag; paper_packaging
stage3_100k_qwen2_v1_bag_053715,sealed_soft_package__sleeping_bag,Sleeping Bag,bag,sealed_soft_package,plastic,plastic,56700.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag; predeformed_state
stage3_100k_qwen2_v1_bag_018799,sealed_soft_package__soft_tool_pouch,Soft Tool Pouch,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_056145,sealed_soft_package__spouted_drink_pouch,Spouted Drink Pouch,bag,sealed_soft_package,plastic,plastic,56700.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag; predeformed_state
stage3_100k_qwen2_v1_bag_091067,sealed_soft_package__toiletry_pouch,Toiletry Pouch,bag,sealed_soft_package,plastic,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_061968,sealed_soft_package__urine_bag,Urine Bag,bag,sealed_soft_package,plastic,plastic,60000.0,0.44,820.0,0.008,144.0,0.001,20,0.36,0.022,0.004,base:plastic; geometry:bag; liquid_filled_medical_pouch_proxy
stage3_100k_qwen2_v1_bag_057604,sealed_soft_package__vacuum_sealed_food_pack,Vacuum-sealed Food Pack,bag,sealed_soft_package,unknown,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
stage3_100k_qwen2_v1_bag_008136,sealed_soft_package__wet_sponge,Wet Sponge,bag,sealed_soft_package,foam,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:bag
stage3_100k_qwen2_v1_bag_037722,sealed_soft_package__wet_wipes_pack,Wet Wipes Pack,bag,sealed_soft_package,unknown,plastic,56700.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag; predeformed_state
stage3_100k_qwen2_v1_bag_014445,soft_case__clear_document_sleeve,Clear Document Sleeve,bag,soft_case,unknown,plastic,63000.0,0.4,650.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:bag
